"map_species","species"
"Anopheles gambiae Giles 1902 / Anopheles coluzzii Coetzee & Wilkerson 2013","gambiae_coluzzii"
"Anopheles arabiensis Patton, 1905","arabiensis"
"Anopheles coluzzii, Coetzee & Wilkerson, 2013","gambiae_coluzzii"
"Anopheles coluzzii, Coetzee & Wilkerson, 2013","coluzzii"
"Anopheles gambiae Giles, 1902","gambiae_coluzzii"
"Anopheles gambiae Giles, 1902","gambiae"
"Anopheles funestus Giles, 1900","funestus"
"Anopheles merus Dönitz, 1902","merus"
"Anopheles melas Theobald, 1903","melas"
"Anopheles moucheti Evans, 1925","moucheti"
"Anopheles nili species complex","nili_sl"
"Anopheles sergentii species complex",
"Anopheles culicifacies species complex",
"Anopheles labranchiae Falleroni, 1926",
