"massey_species","species"
"Anopheles arabiensis","arabiensis"
"Anopheles funestus complex","funestus_sl"
"Anopheles gambiae","gambiae_coluzzii"
"Anopheles funestus","funestus"
"Anopheles nili","nili"
"Anopheles moucheti","moucheti"
"Anopheles nili complex","nili_sl"
"Anopheles melas","melas"
"Anopheles merus","merus"
"Anopheles nili (ovengensis)","ovengensis"
"Anopheles carnevalei (nili)","carnevalei"
"Anopheles gambiae (Form M)","coluzzii"
"Anopheles gambiae (Forest)","coluzzii"
"Anopheles gambiae (Form S)","gambiae"
"Anopheles gambiae (Bamako)","gambiae"
"Anopheles gambiae (Mopti)","coluzzii"
"Anopheles gambiae (Savanna)","gambiae"
"Anopheles gambiae (Form M)","gambiae_coluzzii"
"Anopheles gambiae (Forest)","gambiae_coluzzii"
"Anopheles gambiae (Form S)","gambiae_coluzzii"
"Anopheles gambiae (Bamako)","gambiae_coluzzii"
"Anopheles gambiae (Mopti)","gambiae_coluzzii"
"Anopheles gambiae (Savanna)","gambiae_coluzzii"
