"species","species_level","complex"
"arabiensis",1,"gambiae_sl"
"coluzzii",1,"gambiae_sl"
"gambiae",1,"gambiae_sl"
"funestus",1,"funestus_sl"
"moucheti",1,"moucheti_sl"
"nili_sl",0,"nili_sl"
"funestus_sl",0,"funestus_sl"
"nili",1,"nili_sl"
"ovengensis",1,"nili_sl"
"carnevalei",1,"nili_sl"
"rivulorum",1,"funestus_sl"
"leesoni",1,"funestus_sl"
"parensis",1,"funestus_sl"
"vaneedeni",1,"funestus_sl"
"moucheti_sl",0,"moucheti_sl"
"pharoensis",1,
"hancocki",1,
"marshalli",1,
"squamosus",1,
"wellcomei",1,
"rufipes",1,
"coustani_sl",0,"coustani_sl"
"ziemanni",1,"coustani_sl"
"paludis",1,
"coustani",1,"coustani_sl"
"somalicus",1,"nili_sl"
"gambiae_coluzzii",0,"gambiae_sl"
"merus",1,"gambiae_sl"
"melas",1,"gambiae_sl"
"gambiae_complex",0,"gambiae_sl"
"bwambae",1,"gambiae_sl"
"mascarensis",1,
"nigeriensis",1,"moucheti_sl"
"bervoetsi ",1,"moucheti_sl"
